,a,b,c,no,S.No,actual,pred,alive,plod,name,title,male,culture,dateOfBirth,DateoFdeath,mother,father,heir,house,spouse,book1,book2,book3,book4,book5,isAliveMother,isAliveFather,isAliveHeir,isAliveSpouse,isMarried,isNoble,age,numDeadRelations,boolDeadRelations,isPopular,popularity,isAlive,imageLink,death,live
29,29,29,29,29,30,0,0,0.203,0.797,0.483033419023,-0.305927994791,0,-0.00957914986692,,298.0,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.130421377184,-0.0722863778718,1,0,0,0,0,,,,,0,0,,0,0,0,0.0267558528428,0,no_image.jpg,0.13,0.87
30,30,30,30,30,31,0,1,0.908,0.092,0.483547557841,-0.305927994791,0,0.0417029014151,,196.0,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.253278520041,-0.0722863778718,0,0,0,0,0,,,,,0,0,,0,0,0,0.0133779264214,0,no_image.jpg,0.15,0.85
31,31,31,31,31,32,1,0,0.155,0.845,0.482519280206,-0.305927994791,1,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,-0.0722863778718,0,0,0,0,1,,,,,0,0,,0,0,0,0.0501672240803,1,Wun_Weg_Wun_Dar_Wun.jpeg,0.23,0.77
32,32,32,32,32,33,1,0,0.107,0.893,0.485089974293,-0.305927994791,1,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,-0.361007194245,-0.0722863778718,1,0,1,0,0,,,,,0,0,,0,0,0,0.0267558528428,1,no_image.jpg,0.21,0.79
33,33,33,33,33,34,1,1,0.835,0.165,0.487146529563,-0.305927994791,0,0.0417029014151,280.0,,-0.00556193700502,-0.00668036998972,-0.00625992712324,-0.0867214799589,-0.0722863778718,0,0,0,1,1,,,,,0,0,25.0,0,0,0,0.056856187291,1,Wynafryd_Manderly.png,0.16,0.84
34,34,34,34,34,35,1,1,0.996,0.004,0.488688946015,-0.305927994791,1,0.298113157825,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,-0.0722863778718,0,0,0,1,0,,,,,0,0,,0,0,0,0.0200668896321,1,no_image.jpg,0.25,0.75
35,35,35,35,35,36,1,1,0.989,0.011,0.490231362468,-0.305927994791,1,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,-0.312435765673,-0.0722863778718,0,0,0,1,0,,,,,0,0,,0,0,0,0.0100334448161,1,no_image.jpg,0.22,0.78
36,36,36,36,36,37,1,1,0.998,0.002,0.491259640103,-0.305927994791,1,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,-0.566721479959,-0.0722863778718,0,0,0,1,0,,,,,0,0,,0,0,0,0.0200668896321,1,no_image.jpg,0.22,0.78
37,37,37,37,37,38,1,1,0.997,0.003,0.49177377892,-0.305927994791,1,-0.240348380636,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,-0.312435765673,-0.0722863778718,0,0,0,1,0,,,,,0,0,,0,0,0,0.0100334448161,1,no_image.jpg,0.19,0.81
38,38,38,38,38,39,1,1,0.965,0.035,0.493316195373,-0.305927994791,0,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.170421377184,-0.0722863778718,0,0,0,0,0,,,,,0,0,,0,0,0,0.0,1,no_image.jpg,0.16,0.84
39,39,39,39,39,40,1,1,0.98,0.02,0.49383033419,-0.305927994791,1,-0.419835560123,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,-0.0722863778718,0,0,0,1,0,,,,,0,0,,0,0,0,0.0234113712375,1,no_image.jpg,0.21,0.79
40,40,40,40,40,41,1,1,0.76,0.24,0.494344473008,0.323842997576,0,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,-0.0722863778718,0,0,0,0,0,,,,,0,1,,0,0,0,0.00334448160535,1,no_image.jpg,0.17,0.83
41,41,41,41,41,42,0,1,0.759,0.241,0.494858611825,-0.305927994791,1,0.0417029014151,240.0,299.0,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.327564234327,-0.0722863778718,0,0,1,0,0,,,,,0,0,59.0,0,0,0,0.0133779264214,0,no_image.jpg,0.44,0.56
42,42,42,42,42,43,1,0,0.184,0.816,0.495372750643,-0.305927994791,0,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,0.911965590632,0,0,0,0,1,,,,1.0,1,0,,0,0,0,0.0401337792642,1,no_image.jpg,0.16,0.84
43,43,43,43,43,44,1,1,0.996,0.004,0.496915167095,-0.290660819218,0,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,-0.0722863778718,0,0,0,1,0,,,,,0,1,,0,0,0,0.0066889632107,1,no_image.jpg,0.18,0.82
44,44,44,44,44,45,1,1,0.809,0.191,0.497429305913,-0.305927994791,0,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,-0.0722863778718,0,0,1,0,0,,,,,0,0,,0,0,0,0.0133779264214,1,no_image.jpg,0.16,0.84
45,45,45,45,45,46,1,0,0.498,0.502,0.49794344473,0.0490338372704,1,-0.3429124832,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,-0.0722863778718,0,0,0,0,1,,,,,0,0,,0,0,0,0.0133779264214,1,no_image.jpg,0.22,0.78
46,46,46,46,46,47,1,1,0.967,0.033,0.498457583548,-0.305927994791,1,-0.291630431918,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,-0.00957862281603,-0.0722863778718,0,0,0,0,1,,,,,0,0,,0,0,0,0.0100334448161,1,no_image.jpg,0.21,0.79
47,47,47,47,47,48,1,1,0.984,0.016,0.462467866324,-0.305927994791,0,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.316135662898,-0.0722863778718,0,0,1,1,0,,,,,0,0,,0,0,0,0.0167224080268,1,Wenda.jpeg,0.14,0.86
48,48,48,48,48,49,1,1,0.864,0.136,0.466066838046,-0.305927994791,1,-0.240348380636,286.0,,-0.00556193700502,-0.00668036998972,-0.00625992712324,-0.481007194245,-0.0722863778718,0,1,1,1,1,,,,,0,0,19.0,0,0,0,0.113712374582,1,Wex_Pyke.jpeg,0.16,0.84
49,49,49,49,49,50,1,0,0.207,0.793,0.381233933162,0.686438417423,1,0.349395209107,278.0,,-0.00556193700502,-0.00668036998972,-0.00625992712324,-0.598150051387,-0.0722863778718,1,1,1,0,1,,,,,0,1,27.0,0,0,0,0.0735785953177,1,Timett.jpeg,0.25,0.75
50,50,50,50,50,51,0,0,0.397,0.603,-0.0634961439589,-0.305927994791,1,0.0417029014151,286.0,300.0,0.406202768877,0.84331963001,0.993740072877,-0.529578622816,-0.0722863778718,0,0,0,0,0,1.0,1.0,1.0,,0,0,,5,1,1,1.0,0,Joffrey_Baratheon.jpeg,0.8,0.2
51,51,51,51,51,52,0,0,0.021,0.979,-0.0161953727506,0.526133073912,1,0.375036234748,94.0,120.0,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.233278520041,0.695430157561,0,0,0,0,0,,,,1.0,1,1,26.0,0,0,0,0.19397993311,0,no_image.jpg,0.32,0.68
52,52,52,52,52,53,0,1,0.875,0.125,-0.00179948586118,-0.214324941356,1,-0.00957914986692,,299.0,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.167564234327,0.0773199213408,0,1,1,1,1,,,,1.0,1,1,,0,0,0,0.110367892977,0,no_image.jpg,0.26,0.74
53,53,53,53,53,54,0,0,0.069,0.931,0.0501285347044,-0.305927994791,1,0.0417029014151,12.0,48.0,0.994438062995,0.0433196300103,0.675558254695,0.170421377184,-0.0722863778718,0,0,0,0,0,0.0,0.0,1.0,,0,0,,0,0,1,0.705685618729,0,Maegor_I_Targaryen.jpeg,0.42,0.58
54,54,54,54,54,55,1,0,0.352,0.648,0.0619537275064,0.537583455591,0,0.144267003979,283.0,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.20470709147,0.679682126065,1,1,1,1,1,,,,0.0,1,1,22.0,3,1,1,1.0,1,Margaery_Tyrell.jpeg,0.45,0.55
55,55,55,55,55,56,0,0,0.0,1.0,0.135475578406,0.423079638797,0,0.375036234748,138.0,179.0,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.170421377184,-0.0526013385018,1,0,0,0,0,,,,0.0,1,1,100.0,12,1,0,0.220735785953,0,Naerys_Targaryen.jpeg,0.72,0.28
56,56,56,56,56,57,1,1,0.988,0.012,0.214138817481,-0.305927994791,0,-0.419835560123,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,-0.0722863778718,0,0,0,1,0,,,,,0,0,,0,0,0,0.0200668896321,1,no_image.jpg,0.15,0.85
57,57,57,57,57,58,1,1,0.898,0.102,0.212596401028,-0.305927994791,1,-0.240348380636,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,-0.481007194245,-0.0722863778718,0,0,0,1,0,,,,,0,0,,0,0,0,0.0468227424749,1,no_image.jpg,0.19,0.81
58,58,58,58,58,59,0,1,0.704,0.296,0.213110539846,0.285675058644,1,-0.240348380636,,283.0,-0.00556193700502,-0.00668036998972,-0.00625992712324,-0.23529290853,0.80172937016,0,0,0,1,0,,,,1.0,1,1,,0,0,0,0.0903010033445,0,no_image.jpg,0.25,0.75
59,59,59,59,59,60,0,0,0.09,0.91,0.217737789203,0.152087272385,0,0.0417029014151,,206.0,-0.00556193700502,-0.00668036998972,-0.00625992712324,-0.503864337102,-0.0722863778718,0,0,0,0,0,,,,,0,1,,0,0,0,0.0200668896321,0,no_image.jpg,0.15,0.85
60,60,60,60,60,61,1,1,0.767,0.233,0.216195372751,-0.305927994791,1,-0.240348380636,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,-0.23529290853,-0.0722863778718,0,0,0,1,0,,,,,0,0,,0,0,0,0.0602006688963,1,no_image.jpg,0.22,0.78
61,61,61,61,61,62,1,1,0.968,0.032,0.219280205656,-0.305927994791,1,0.298113157825,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,-0.0722863778718,0,1,0,1,0,,,,,0,0,,0,0,0,0.0401337792642,1,no_image.jpg,0.24,0.76
62,62,62,62,62,63,1,0,0.382,0.618,0.219794344473,-0.305927994791,1,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,-0.512435765673,-0.0722863778718,0,0,0,0,0,,,,,0,0,,0,0,0,0.0100334448161,1,no_image.jpg,0.21,0.79
63,63,63,63,63,64,1,1,0.984,0.016,0.22030848329,-0.305927994791,1,-0.419835560123,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,-0.0722863778718,0,0,0,1,0,,,,,0,0,,0,0,0,0.0167224080268,1,no_image.jpg,0.23,0.77
64,64,64,64,64,65,1,1,0.916,0.084,0.215681233933,0.526133073912,0,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.20470709147,-0.0722863778718,0,0,1,1,0,,,,,0,1,,0,0,0,0.127090301003,1,no_image.jpg,0.17,0.83
65,65,65,65,65,66,0,1,0.65,0.35,0.221336760925,-0.305927994791,1,0.0417029014151,285.0,299.0,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.376135662898,-0.0722863778718,0,0,1,0,0,,,,,0,0,14.0,0,0,0,0.0100334448161,0,no_image.jpg,0.16,0.84
66,66,66,66,66,67,0,1,0.783,0.217,0.22236503856,-0.305927994791,1,0.0417029014151,,299.0,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,-0.0722863778718,0,1,0,0,0,,,,,0,0,,0,0,0,0.0133779264214,0,no_image.jpg,0.24,0.76
67,67,67,67,67,68,1,1,0.74,0.26,0.223393316195,-0.305927994791,0,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,-0.0722863778718,0,0,0,0,0,,,,,0,0,,0,0,0,0.0066889632107,1,no_image.jpg,0.16,0.84
68,68,68,68,68,69,1,0,0.363,0.637,0.222879177378,-0.305927994791,1,0.323754183466,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.310421377184,-0.0722863778718,0,0,0,0,0,,,,,0,0,,0,0,0,0.0100334448161,1,no_image.jpg,0.25,0.75
69,69,69,69,69,70,1,1,0.988,0.012,0.22442159383,-0.305927994791,0,-0.240348380636,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,-0.23529290853,-0.0722863778718,0,0,0,1,0,,,,,0,0,,0,0,0,0.0100334448161,1,no_image.jpg,0.13,0.87
70,70,70,70,70,71,1,1,0.709,0.291,0.225449871465,-0.305927994791,0,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,-0.0722863778718,1,0,0,0,0,,,,,0,0,,0,0,0,0.00334448160535,1,no_image.jpg,0.16,0.84
71,71,71,71,71,72,1,1,0.746,0.254,0.228020565553,-0.305927994791,0,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,-0.0722863778718,0,0,1,0,0,,,,,0,0,,0,0,0,0.00334448160535,1,no_image.jpg,0.16,0.84
72,72,72,72,72,73,0,0,0.132,0.868,0.229048843188,-0.305927994791,1,0.0417029014151,,299.0,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.327564234327,-0.0722863778718,1,1,1,0,0,,,,,0,0,,0,0,0,0.066889632107,0,Rast.png,0.23,0.77
73,73,73,73,73,74,1,1,0.991,0.009,0.23059125964,-0.233408910821,1,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,-0.0722863778718,0,0,0,1,0,,,,,0,1,,0,0,0,0.0100334448161,1,no_image.jpg,0.25,0.75
74,74,74,74,74,75,1,1,0.716,0.284,0.231105398458,0.152087272385,1,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.0732785200411,-0.0722863778718,0,0,1,0,0,,,,,0,1,,0,0,0,0.0133779264214,1,no_image.jpg,0.24,0.76
75,75,75,75,75,76,1,1,0.982,0.018,0.231619537275,0.526133073912,0,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,-0.0352929085303,-0.0722863778718,0,0,0,1,0,,,,,0,1,,0,0,0,0.0167224080268,1,no_image.jpg,0.15,0.85
76,76,76,76,76,77,1,1,0.923,0.077,0.234190231362,-0.305927994791,0,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.20470709147,-0.0722863778718,0,0,1,1,0,,,,,0,0,,0,0,0,0.127090301003,1,no_image.jpg,0.16,0.84
77,77,77,77,77,78,1,1,0.998,0.002,0.237275064267,-0.305927994791,0,-0.240348380636,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,-0.0722863778718,0,0,0,1,1,,,,,0,0,,0,0,0,0.0167224080268,1,no_image.jpg,0.15,0.85
78,78,78,78,78,79,1,1,0.926,0.074,0.23676092545,0.526133073912,1,-0.189066329354,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.170421377184,-0.0722863778718,0,0,0,0,0,,,,,0,1,,0,0,0,0.0,1,no_image.jpg,0.26,0.74
79,79,79,79,79,80,1,1,0.783,0.217,0.238303341902,0.526133073912,1,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,-0.0722863778718,0,0,0,0,0,,,,,0,1,,0,0,0,0.0167224080268,1,no_image.jpg,0.27,0.73
80,80,80,80,80,81,0,0,0.283,0.717,0.237789203085,-0.305927994791,1,0.0417029014151,,299.0,-0.00556193700502,-0.00668036998972,-0.00625992712324,-0.23529290853,-0.0722863778718,0,1,0,0,0,,,,,0,0,,0,0,0,0.0133779264214,0,no_image.jpg,0.22,0.78
81,81,81,81,81,82,1,1,0.712,0.288,0.23881748072,-0.305927994791,0,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.327564234327,-0.0722863778718,0,1,0,0,0,,,,,0,0,,0,0,0,0.0066889632107,1,no_image.jpg,0.15,0.85
82,82,82,82,82,83,1,1,0.843,0.157,0.242416452442,0.197888799102,0,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.258992805755,-0.0722863778718,0,0,0,0,0,,,,,0,1,,0,0,0,0.0066889632107,1,no_image.jpg,0.18,0.82
83,83,83,83,83,84,1,1,0.717,0.283,0.24293059126,-0.305927994791,1,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,-0.0722863778718,0,1,0,0,0,,,,,0,0,,0,0,0,0.0234113712375,1,no_image.jpg,0.23,0.77
84,84,84,84,84,85,0,0,0.001,0.999,0.245501285347,0.403995669331,1,0.375036234748,173.0,215.0,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.170421377184,-0.0171682676356,0,0,0,0,0,,,,1.0,1,1,42.0,3,1,0,0.0969899665552,0,no_image.jpg,0.49,0.51
85,85,85,85,85,86,0,0,0.004,0.996,0.248071979434,0.094835363988,0,0.0417029014151,116.0,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.170421377184,0.128501023703,0,0,0,0,0,,,,1.0,1,1,100.0,0,0,0,0.14381270903,0,Rhaena_Targaryen_(daughter_of_Daemon).jpeg,0.47,0.53
86,86,86,86,86,87,0,0,0.0,1.0,0.247557840617,0.430713226583,0,0.375036234748,147.0,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.170421377184,-0.0722863778718,0,0,0,0,0,,,,,0,1,100.0,0,0,0,0.0735785953177,0,Rhaena_Targaryen_(daughter_of_Aegon_III).jpeg,0.72,0.28
87,87,87,87,87,88,0,0,0.002,0.998,0.248586118252,0.43834681437,0,0.375036234748,-25.0,10.0,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.170421377184,-0.0644123621238,1,0,0,0,0,,,,0.0,1,1,35.0,1,1,0,0.277591973244,0,Rhaenys_Targaryen.jpeg,0.3,0.7
88,88,88,88,88,89,0,1,0.763,0.237,0.249614395887,0.419262844904,0,0.0417029014151,280.0,283.0,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.170421377184,-0.0722863778718,1,1,1,1,1,,,,,0,1,3.0,10,1,0,0.244147157191,0,Rhaenys_Targaryen_(daughter_of_Rhaegar).jpeg,0.76,0.24
89,89,89,89,89,90,1,1,0.99,0.01,0.251156812339,-0.305927994791,0,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.227564234327,-0.0722863778718,0,0,0,1,0,,,,,0,0,,0,0,0,0.0167224080268,1,no_image.jpg,0.16,0.84
90,90,90,90,90,91,0,0,0.242,0.758,0.249100257069,0.419262844904,0,0.375036234748,74.0,129.0,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.170421377184,0.124564015829,0,0,0,0,0,,,,0.0,1,1,55.0,0,0,0,0.14381270903,0,Rhaenys_Targaryen_(daughter_of_Aemon).jpeg,0.49,0.51
